Filename,ID,Title,Catalogue entry BBC YP,Genre,Height,Width,Area,Materials,Collection,image_width ,image_height ,image_height/image_width 
001.jpg,1,A Chapel in the Tyrol,1950-1960,Landscape,40.7,29.8,1212.86,oil on hardboard,NLW,687,944,1.3741
002.jpg,2,A Ruined Classical Building,1940-1960,Landscape,30.4,40.7,1237.28,oil on hardboard,NLW,944,699,0.7405
003.jpg,3,"Above Carneddi, No.2",1985,Landscape,50,75,3750,oil on canvas,NLW,944,627,0.6642
004.jpg,4,Across the Water,1990-2006,Landscape,50.3,76,3822.8,oil on canvas,NLW,944,636,0.6737
005.jpg,5,"Allt Corn Yd, Llanddona",n.d.,Landscape,61,91.4,5575.4,oil on canvas,OYM,944,638,0.6758
006.jpg,6,Alpine Mountain Landscape,1950-1960,Landscape,60.8,50.5,3070.4,oil on canvas,NLW,787,944,1.1995
007.jpg,7,Alpine Mountains/ Y Grib Goch,1990-2006,Landscape,50.5,60.8,3070.4,oil on canvas,NLW,944,790,0.8369
008.jpg,8,"Alun Oldfield-Davis, Controller (1945-1967)",n.d.,Portrait,174,98,17052,oil on canvas,BBC,538,944,1.7546
009.jpg,9,An Officer of the Royal Welch Fusiliers,1940-1950,Portrait,60.7,40.5,2458.35,oil on canvas,NLW,638,944,1.4796
010.jpg,10,Anglesey Cottages with Cattle,1970,Landscape,59.8,76,4544.8,oil on canvas,NMGW,800,581,0.7262
011.jpg,11,Anglesey Landscape,1960,Landscape,90,121,10890,oil on canvas,OYM,944,585,0.6197
012.jpg,12,Ann Griffiths (b.1935),1970,Portrait,54.3,49.7,2698.71,oil on canvas,NLW,944,942,0.9979
013.jpg,13,Ar Hyd Y Ffos,1969,Landscape,121,91,11011,oil on canvas,NLW,719,944,1.3129
014.jpg,14,Autumn Road,1950-1960,Landscape,61,76.3,4654.3,oil on canvas,NLW,944,761,0.8061
015.jpg,15,Autumn Sunset,1960-1980,Landscape,60.5,76.2,4610.1,oil on canvas,NLW,944,756,0.8008
016.jpg,16,Barn in a Patagonian Landscape,1969,Landscape,50.7,61,3092.7,oil on canvas,NLW,944,806,0.8538
017.jpg,17,Blaen Ffrancon No.1,1978,Landscape,92.1,121.9,11226.99,oil on canvas,NMGW,800,599,0.7488
018.jpg,18,Blaen Nant,1976,Landscape,76.7,127,9740.9,oil on canvas,RAA,944,521,0.5519
019.jpg,19,Blue Sky with Brown Hill,1970-1990,Landscape,55.5,91.2,5061.6,oil on canvas,NLW,944,580,0.6144
020.jpg,20,Bryn Cader Faner,2000,Landscape,120.3,120.3,14472.09,oil on canvas,NLW,944,939,0.9947
021.jpg,21,Bryn yr Hen Bobl,1970-1990,Landscape,61,61,3721,oil on canvas,NLW,936,944,1.0085
022.jpg,22,"Buildings, Patagonia",1969,Landscape,51,68.7,3503.7,oil on canvas,NLW,944,716,0.7585
023.jpg,23,Capel Carmel,1958,Landscape,51.5,62,3193,oil on canvas,OYM,944,702,0.7436
024.jpg,24,Carreg Cennen No.1,1982,Landscape,75.5,75.5,5700.25,oil on canvas,NLW,944,941,0.9968
025.jpg,25,Cattle in the Field,1940-1950,Landscape,30.5,40.6,1238.3,oil on board,NLW,944,725,0.768
026.jpg,26,Ceg y Ffos,1969,Landscape,17.5,25,437.5,oil on canvas,NLW,944,671,0.7108
027.jpg,27,Ceserea,1960-1980,Landscape,47.1,99.5,4686.45,oil on canvas,NLW,944,459,0.4862
028.jpg,28,Chapel at Dinorwic,2000,Landscape,111,111,12321,oil on canvas,NLW,928,944,1.0172
029.jpg,29,Chapel with a Mountain Behind,1960-1970,Landscape,71.2,91.6,6521.92,oil on canvas,NLW,944,732,0.7754
030.jpg,30,Charles Evans,1967,Portrait,61.1,51.5,3146.65,oil on canvas,NLW,789,944,1.1965
031.jpg,31,"Church and Cottage, North Wales",1950-1960,Landscape,76,127,9652,oil on canvas,NLW,944,577,0.6112
032.jpg,32,Cloud and Hills above the Traeth,n.d.,Landscape,90.5,120.4,10896.2,oil on canvas,BU,944,691,0.732
033.jpg,33,"Cloud and Mist, Eryri",1950-1960,Landscape,61,51,3111,oil on canvas,NLW,802,944,1.1771
034.jpg,34,Cloud on Foel Goch,1960-1961,Landscape,91.3,112.8,10298.64,oil on canvas,NLW,944,716,0.7585
035.jpg,35,Cloud on the Mountains,1970-1990,Landscape,71,91.5,6496.5,oil on canvas,NLW,944,750,0.7945
036.jpg,36,Cloud on the Mountains,1950-1970,Landscape,51,61,3111,oil on canvas,NLW,944,808,0.8559
037.jpg,37,Cloud over Crib Goch,1970-1990,Landscape,60.5,60.5,3660.25,oil on canvas,NLW,944,927,0.982
038.jpg,38,Clouds above Crib Goch,n.d.,Landscape,89.58,93.7,8393.646,oil on canvas,BU,944,691,0.732
039.jpg,39,Cloudy Day in Snowdonia,1940-1950,Landscape,22.9,30.9,707.61,oil on hardboard,NLW,944,694,0.7352
040.jpg,40,Cnicht,1960-1970,Landscape,50.5,60.8,3070.4,oil on canvas,NLW,944,803,0.8506
041.jpg,41,Coastal Sunset,1970-1990,Landscape,76.2,76.2,5806.44,oil on canvas,NLW,938,944,1.0064
042.jpg,42,Coastal Sunset,1990-2006,Landscape,50.5,75.7,3822.85,oil on canvas,NLW,944,632,0.6695
043.jpg,43,"Col des Aravis, Haute Savoie",1960-1980,Landscape,45.7,60.7,2773.99,oil on canvas,NLW,944,717,0.7595
044.jpg,44,"Conservatory, Highgate",1950,Landscape,60,49.5,2970,oil on canvas,NLW,784,944,1.2041
045.jpg,45,"Corporal Norman Pritchard, Goat Major, 3rd Battalion",1983,Portrait,112,110,12320,oil on canvas,RWFRM,919,944,1.0272
046.jpg,46,Cottage in the Fields,1990-2006,Landscape,50.5,60.7,3065.35,oil on canvas,NLW,944,791,0.8379
047.jpg,47,"Cottages, Carmel, No.1",1985,Landscape,49.7,117,5814.9,oil on canvas,NLW,944,422,0.447
048.jpg,48,"Cottages, Cilgwyn",n.d.,Landscape,52.2,62,3236.4,oil on canvas,MOMA,944,772,0.8178
049.jpg,49,"Cottages, Eryri",1960-1980,Landscape,45.7,75.8,3464.06,oil on canvas,NLW,944,568,0.6017
050.jpg,50,"Cottages, Eryri",1960-1980,Landscape,50.5,60.5,3055.25,oil on canvas,NLW,944,813,0.8612
051.jpg,51,"Cottages, Llanddona",1955,Landscape,50.8,76.5,3886.2,oil on canvas,NMGW,800,529,0.6612
052.jpg,52,"Cottages, Llanrhuddlad",1955,Landscape,51.8,62,3211.6,oil on canvas,OYM,944,662,0.7013
053.jpg,53,"Cottages, Mynydd Bodafon",1962,Landscape,57,77.5,4417.5,oil on canvas,OYM,944,689,0.7299
054.jpg,54,"Cottages, North Wales",1960-1970,Landscape,61.3,50.5,3095.65,oil on canvas,NLW,794,944,1.1889
055.jpg,55,"Cottages, Snowdonia",1960-1970,Landscape,51,61,3111,oil on canvas,NLW,944,778,0.8242
056.jpg,56,"Councillor Dora Phyllis Oxenham (1910–1996), CBE, Chair of Northamptonshire County Council (1969–1972) ",1960s,Portrait,60.5,65,3932.5,oil on canvas,Northamptonshire Council,590,685,1.161
057.jpg,57,Craggs and Trees ,1970-1990,Landscape,75.6,76,5745.6,oil on canvas,NLW,944,754,0.7987
058.jpg,58,Crib Coch and Llanberis Pass,n.d.,Landscape,122,152.4,18592.8,oil on canvas,Newport Museum and Art Gallery,944,478,0.5064
059.jpg,59,Crib Goch ,n.d.,Landscape,51,122,6222,oil on canvas,Gwynedd Council Collection,944,944,1
060.jpg,60,Crib Goch with a Blue Sky,1970-1990,Landscape,50.8,61,3098.8,oil on canvas,NLW,944,803,0.8506
061.jpg,61,Crows and Storm Coming,1960-1970,Landscape,61,76.2,4648.2,oil on canvas,NLW,944,636,0.6737
062.jpg,62,Crucifixion,1950-1960,Genre,61,76,4636,oil on canvas,NLW,944,757,0.8019
063.jpg,63,Cwm Hetiau,1970-1990,Landscape,121.2,182.9,22167.48,oil on canvas,NLW,944,620,0.6568
064.jpg,64,Cwm Pennant,n.d.,Landscape,50,67.2,3360,oil on canvas,Newport Museum and Art Gallery,944,700,0.7415
065.jpg,65,Dafydd Williams on the Mountain,1969,Landscape,91.5,121.8,11144.7,oil on canvas,RAA,944,713,0.7553
066.jpg,66,Dame Eileen Louise Younghusband,1965,Portrait,91.5,71.1,6505.65,oil on canvas,NPG,624,800,1.2821
