#K	correlation     	significance
1	-0.0354735524519	0.709138207599
2	-0.0562504808477	0.554003784925
3	0.0555580512117 	0.558900558639
4	0.0810875446648 	0.393218257681
5	0.0301495808567 	0.751241285168
6	0.143604592306  	0.12915529226
7	0.176198376676  	0.0619263695503
8	0.275791171909  	0.00310981629127
9	0.289464825865  	0.00187278460661
10	0.364477034757  	7.2241497167e-05
11	0.348635695194  	0.000154148923555
12	0.343886341257  	0.000191995624646
13	0.308325713176  	0.000892351189428
14	0.281382593604  	0.00253502697772
15	0.234159431566  	0.0125503172514
16	0.212411489367  	0.0239020669921
17	0.244438395885  	0.00907457405286
18	0.246843967432  	0.00839563832806
19	0.260706318449  	0.00528819575818
20	0.275033491707  	0.00319612078089
