Actual	Classified
1985	1996
1970	1968
1960	1961
1970	1999
1969	1959
1969	1957
1978	1968
1976	1978
2000	1999
1969	1962
1958	1962
1982	2004
1969	1967
2000	1990
1967	1963
1950	1963
1983	1970
1985	1980
1955	1980
1955	1962
1962	1958
1969	1950
1965	1978
1970	1975
1985	1970
1970	1962
1969	1962
1969	2004
1990	1970
1967	1996
1958	1987
1975	1958
1957	1960
1983	1984
1947	1947
1980	1955
1970	1967
1977	2004
1948	1978
1970	1973
1960	1957
1948	1963
1963	1957
1969	1990
1953	1978
1950	1963
1960	1978
1950	1947
1959	1957
1969	1947
1945	1950
1947	1983
1950	1959
1955	1962
1969	2000
1969	1962
1969	1963
1969	1963
1978	1969
1996	1980
1990	2000
1988	1984
1970	2004
1960	1957
1960	1973
1979	1995
1952	1955
1960	1984
1957	1950
1984	1983
1960	1995
1969	1957
1969	1990
1999	2000
1947	1961
1985	1968
1944	1978
1943	1947
1980	2004
1948	1957
1976	1952
1953	1995
1968	1984
1997	1984
1965	1983
1964	1987
1970	2004
1959	1973
1968	1978
1945	1947
1948	1995
1961	1996
1987	1964
1995	1953
1996	1967
1973	1959
2004	1969
1947	1987
1981	2004
1980	1967
1951	1965
1952	1976
1969	2004
1951	1948
1951	1957
1970	1959
1979	1958
1970	2004
1967	1955
1990	1975
1950	1947
1967	1968
1950	1961
