Actual	Classified
1985	1958
1970	1962
1960	1968
1970	1966
1969	1961
1969	1956
1978	1962
1976	1966
2000	1963
1969	1968
1958	1969
1982	1965
1969	1961
2000	1967
1967	1963
1950	1963
1983	1969
1985	1965
1955	1963
1955	1969
1962	1968
1969	1969
1965	1961
1970	1967
1985	1967
1970	1960
1969	1971
1969	1967
1990	1966
1967	1967
1958	1970
1975	1966
1957	1967
1983	1972
1947	1965
1980	1970
1970	1973
1977	1967
1948	1971
1970	1967
1960	1963
1948	1964
1963	1960
1969	1965
1953	1969
1950	1957
1960	1974
1950	1963
1959	1962
1969	1966
1945	1971
1947	1963
1950	1979
1955	1968
1969	1960
1969	1967
1969	1967
1969	1970
1978	1967
1996	1979
1990	1970
1988	1971
1970	1974
1960	1967
1960	1965
1979	1961
1952	1974
1960	1970
1957	1984
1984	1972
1960	1967
1969	1967
1969	1968
1999	1971
1947	1972
1985	1967
1944	1976
1943	1958
1980	1964
1948	1964
1976	1970
1953	1965
1968	1967
1997	1970
1965	1966
1964	1962
1970	1969
1959	1961
1968	1967
1945	1962
1948	1971
1961	1982
1987	1972
1995	1967
1996	1967
1973	1980
2004	1976
1947	1971
1981	1966
1980	1961
1951	1974
1952	1963
1969	1969
1951	1974
1951	1963
1970	1974
1979	1970
1970	1967
1967	1967
1990	1958
1950	1970
1967	1967
1950	1974
