Actual	Classified
1985	1970
1970	1968
1960	1971
1970	1990
1969	1960
1969	1955
1978	1959
1976	1959
2000	1982
1969	1964
1958	1966
1982	1978
1969	1968
2000	1982
1967	1959
1950	1962
1983	1976
1985	1966
1955	1974
1955	1965
1962	1965
1969	1958
1965	1957
1970	1968
1985	1980
1970	1963
1969	1964
1969	1975
1990	1976
1967	1969
1958	1962
1975	1965
1957	1962
1983	1967
1947	1957
1980	1964
1970	1966
1977	1974
1948	1963
1970	1975
1960	1959
1948	1962
1963	1958
1969	1982
1953	1960
1950	1962
1960	1958
1950	1962
1959	1961
1969	1959
1945	1960
1947	1963
1950	1961
1955	1967
1969	1991
1969	1963
1969	1956
1969	1960
1978	1985
1996	1963
1990	1983
1988	1975
1970	1975
1960	1961
1960	1966
1979	1959
1952	1960
1960	1974
1957	1959
1984	1964
1960	1962
1969	1964
1969	1985
1999	1986
1947	1967
1985	1976
1944	1960
1943	1954
1980	1974
1948	1964
1976	1959
1953	1963
1968	1965
1997	1963
1965	1967
1964	1967
1970	1980
1959	1962
1968	1967
1945	1953
1948	1963
1961	1966
1987	1959
1995	1957
1996	1964
1973	1971
2004	1973
1947	1964
1981	1973
1980	1967
1951	1966
1952	1962
1969	1979
1951	1963
1951	1957
1970	1964
1979	1965
1970	1978
1967	1963
1990	1977
1950	1962
1967	1979
1950	1968
