Actual	Classified
1985	1954
1970	1972
1960	1972
1970	1967
1969	1955
1969	1965
1978	1956
1976	1963
2000	1967
1969	1956
1958	1965
1982	1954
1969	1958
2000	1961
1967	1954
1950	1964
1983	1975
1985	1968
1955	1951
1955	1961
1962	1956
1969	1960
1965	1955
1970	1967
1985	1969
1970	1952
1969	1959
1969	1965
1990	1962
1967	1952
1958	1955
1975	1980
1957	1966
1983	1954
1947	1954
1980	1967
1970	1964
1977	1979
1948	1959
1970	1974
1960	1952
1948	1949
1963	1956
1969	1962
1953	1959
1950	1956
1960	1950
1950	1952
1959	1959
1969	1960
1945	1957
1947	1954
1950	1958
1955	1971
1969	1963
1969	1964
1969	1962
1969	1960
1978	1962
1996	1971
1990	1957
1988	1953
1970	1955
1960	1958
1960	1952
1979	1950
1952	1952
1960	1970
1957	1963
1984	1954
1960	1956
1969	1950
1969	1959
1999	1959
1947	1963
1985	1965
1944	1952
1943	1953
1980	1965
1948	1959
1976	1968
1953	1960
1968	1961
1997	1962
1965	1962
1964	1954
1970	1961
1959	1960
1968	1960
1945	1964
1948	1958
1961	1964
1987	1967
1995	1959
1996	1963
1973	1957
2004	1960
1947	1957
1981	1954
1980	1952
1951	1959
1952	1959
1969	1956
1951	1953
1951	1964
1970	1960
1979	1965
1970	1959
1967	1956
1990	1970
1950	1959
1967	1966
1950	1964
