Actual	Classified
1985	1964
1970	1964
1960	1966
1970	1961
1969	1956
1969	1961
1978	1966
1976	1968
2000	1968
1969	1963
1958	1951
1982	1961
1969	1965
2000	1956
1967	1965
1950	1959
1983	1960
1985	1965
1955	1951
1955	1972
1962	1957
1969	1961
1965	1963
1970	1958
1985	1971
1970	1964
1969	1959
1969	1956
1990	1965
1967	1955
1958	1954
1975	1974
1957	1971
1983	1972
1947	1965
1980	1965
1970	1966
1977	1965
1948	1953
1970	1970
1960	1956
1948	1962
1963	1956
1969	1958
1953	1960
1950	1956
1960	1959
1950	1956
1959	1962
1969	1963
1945	1962
1947	1954
1950	1957
1955	1972
1969	1958
1969	1961
1969	1963
1969	1954
1978	1961
1996	1961
1990	1952
1988	1958
1970	1953
1960	1969
1960	1953
1979	1963
1952	1952
1960	1979
1957	1958
1984	1957
1960	1963
1969	1961
1969	1969
1999	1956
1947	1963
1985	1969
1944	1970
1943	1969
1980	1972
1948	1969
1976	1965
1953	1955
1968	1962
1997	1954
1965	1972
1964	1962
1970	1954
1959	1970
1968	1964
1945	1950
1948	1964
1961	1971
1987	1968
1995	1967
1996	1967
1973	1954
2004	1960
1947	1963
1981	1962
1980	1958
1951	1957
1952	1957
1969	1975
1951	1957
1951	1955
1970	1972
1979	1967
1970	1973
1967	1959
1990	1971
1950	1954
1967	1954
1950	1961
