Actual	Classified
1985	1980
1970	1962
1960	1975
1970	1969
1969	1968
1969	1966
1978	1969
1976	1961
2000	1975
1969	1972
1958	1967
1982	1981
1969	1971
2000	1961
1967	1959
1950	1969
1983	1958
1985	1972
1955	1963
1955	1975
1962	1974
1969	1955
1965	1960
1970	1962
1985	1976
1970	1960
1969	1964
1969	1968
1990	1964
1967	1958
1958	1965
1975	1978
1957	1961
1983	1971
1947	1970
1980	1969
1970	1970
1977	1962
1948	1963
1970	1961
1960	1967
1948	1965
1963	1959
1969	1959
1953	1967
1950	1969
1960	1958
1950	1962
1959	1970
1969	1966
1945	1967
1947	1953
1950	1961
1955	1968
1969	1963
1969	1965
1969	1965
1969	1962
1978	1970
1996	1979
1990	1962
1988	1953
1970	1961
1960	1972
1960	1957
1979	1969
1952	1960
1960	1978
1957	1963
1984	1965
1960	1959
1969	1955
1969	1968
1999	1960
1947	1977
1985	1977
1944	1972
1943	1967
1980	1982
1948	1963
1976	1976
1953	1965
1968	1962
1997	1960
1965	1975
1964	1969
1970	1983
1959	1976
1968	1969
1945	1964
1948	1960
1961	1972
1987	1972
1995	1970
1996	1968
1973	1955
2004	1956
1947	1966
1981	1965
1980	1962
1951	1965
1952	1954
1969	1971
1951	1969
1951	1968
1970	1976
1979	1983
1970	1968
1967	1963
1990	1971
1950	1964
1967	1967
1950	1967
