Actual	Classified
1985	1980
1970	1972
1960	1969
1970	1962
1969	1967
1969	1963
1978	1970
1976	1964
2000	1971
1969	1960
1958	1979
1982	1970
1969	1973
2000	1963
1967	1962
1950	1978
1983	1983
1985	1965
1955	1968
1955	1981
1962	1971
1969	1963
1965	1961
1970	1957
1985	1974
1970	1970
1969	1971
1969	1968
1990	1962
1967	1966
1958	1974
1975	1982
1957	1967
1983	1972
1947	1972
1980	1972
1970	1971
1977	1974
1948	1963
1970	1975
1960	1954
1948	1962
1963	1956
1969	1962
1953	1963
1950	1967
1960	1961
1950	1968
1959	1965
1969	1964
1945	1967
1947	1967
1950	1964
1955	1970
1969	1963
1969	1963
1969	1962
1969	1960
1978	1968
1996	1981
1990	1965
1988	1960
1970	1970
1960	1966
1960	1963
1979	1960
1952	1968
1960	1983
1957	1959
1984	1962
1960	1960
1969	1961
1969	1962
1999	1961
1947	1966
1985	1977
1944	1962
1943	1971
1980	1967
1948	1961
1976	1979
1953	1958
1968	1972
1997	1962
1965	1972
1964	1968
1970	1969
1959	1975
1968	1965
1945	1965
1948	1967
1961	1978
1987	1976
1995	1978
1996	1978
1973	1971
2004	1957
1947	1965
1981	1962
1980	1960
1951	1962
1952	1971
1969	1974
1951	1962
1951	1958
1970	1977
1979	1971
1970	1976
1967	1964
1990	1964
1950	1969
1967	1968
1950	1970
