Actual	Classified
1985	1955
1970	1948
1960	1961
1970	1999
1969	1945
1969	1957
1978	1948
1976	1948
2000	1999
1969	1970
1958	1962
1982	1977
1969	1980
2000	1999
1967	1963
1950	1963
1983	1990
1985	1995
1955	1952
1955	1962
1962	1970
1969	1945
1965	1944
1970	1975
1985	1990
1970	1962
1969	1962
1969	1981
1990	1983
1967	1980
1958	1987
1975	1979
1957	1995
1983	1984
1947	1943
1980	1952
1970	1968
1977	1982
1948	1976
1970	1955
1960	1957
1948	1963
1963	1969
1969	2000
1953	1944
1950	1969
1960	1944
1950	1968
1959	1957
1969	1984
1945	1950
1947	1943
1950	1945
1955	1955
1969	1999
1969	1970
1969	1963
1969	1963
1978	2000
1996	1965
1990	2000
1988	1997
1970	1977
1960	1957
1960	1973
1979	1995
1952	1953
1960	1984
1957	1959
1984	1960
1960	1995
1969	1970
1969	2000
1999	2000
1947	1961
1985	1988
1944	1953
1943	1944
1980	1977
1948	1959
1976	1995
1953	1995
1968	1997
1997	1984
1965	1976
1964	1987
1970	2004
1959	1973
1968	1948
1945	1943
1948	1995
1961	1947
1987	1958
1995	1952
1996	1967
1973	1980
2004	1982
1947	1958
1981	1977
1980	1967
1951	1965
1952	1995
1969	1982
1951	1995
1951	1957
1970	1970
1979	1975
1970	1977
1967	1952
1990	1979
1950	1968
1967	1988
1950	1961
