Horses and Riders,1940-1950,Genre,NLW,nlw_nlw_kwf00391_large.jpeg
Crucifixion,1950-1960,Genre,NLW,nlw_nlw_kwf00074_large.jpeg
Deposition,1960-1970,genre,NLW,nlw_nlw_kwf00102_large.jpeg
Welsh Sheepdog,1980-1990,Genre,NLW,nlw_nlw_kwf00050_large.jpeg
Welsh Black Bull,1990-2006,Genre,NLW,nlw_nlw_kwf00064_large.jpeg
Italian Ruin,1950,landscape,NLW,nlw_nlw_kwf00395_large.jpeg
Landscape with Cattle,1950,landscape,NLW,nlw_nlw_gcf02988_large.jpeg
"Llyn-y-Cau, Cader Idris",1950,landscape,NLW,nlw_nlw_gcf02341_large.jpeg
Crows and Storm Coming,1965,landscape,NLW,nlw_nlw_kwf00037_large.jpeg
Grey Sky and Dark Mountains,1965,landscape,NLW,nlw_nlw_kwf00319_large.jpeg
"Mountains Summits, Snowdonia",1965,landscape,NLW,nlw_nlw_kwf00052_large.jpeg
Ar Hyd y Ffos,1969,landscape,NLW,nlw_nlw_kwf00140_624x544.jpeg
Barn in a Patagonian Landscape,1969,landscape,NLW,nlw_nlw_kwf00322_large.jpeg
"Buildings, Patagonia",1969,landscape,NLW,nlw_nlw_kwf00326_large.jpeg
Ceg-y-Ffos,1969,landscape,NLW,nlw_nlw_gcf05262_large.jpeg
"Lle Cul, Patagonia",1969,landscape,NLW,nlw_nlw_gcf00136_large.jpeg
"Lle Cul, Patagonia",1969,landscape,NLW,nlw_nlw_gcf05256_large.jpeg
"Lle Cul, Patagonia",1969,landscape,NLW,nlw_nlw_gcf05255_large.jpeg
"Lle Cul, Patagonia",1969,landscape,NLW,nlw_nlw_gcf00016_large.jpeg
"Paith, Patagonia",1969,landscape,NLW,nlw_nlw_kwf00325_large.jpeg
Patagonian Landscape,1969,landscape,NLW,nlw_nlw_kwf00103_large.jpeg
The New Road to the Valley,1969,landscape,NLW,nlw_nlw_gcf07221_large.jpeg
Ceserea,1970,landscape,NLW,nlw_nlw_kwf00442_large.jpeg
Ffridd Llwyn Gorful,1970,landscape,NLW,nlw_nlw_gcf00134_large.jpeg
Welsh Landscape,1970,landscape,NLW,nlw_nlw_gcf02285_large.jpeg
"Farm, Llanfairynghornwy",1975,landscape,NLW,nlw_nlw_gcf02283_large.jpeg
Farm Eryri,1980,landscape,NLW,nlw_nlw_kwf00006_large.jpeg
Farm near Nanhoron,1980,landscape,NLW,nlw_nlw_kwf00069_large.jpeg
"Green Fields and Grey Mountains, Snowdonia",1980,landscape,NLW,nlw_nlw_kwf00092_large.jpeg
Hamlet in the Trees,1980,landscape,NLW,nlw_nlw_kwf00327_large.jpeg
Welsh Blacks Grazing on Snowdonia,1980,landscape,NLW,nlw_nlw_kwf00078_large.jpeg
Carreg Cennen no.1,1982,landscape,NLW,nlw_nlw_gcf02719_large.jpeg
"Above Carneddi, no.2",1985,landscape,NLW,nlw_nlw_gcf02373_large.jpeg
"Cottages, Carmel no.1",1985,landscape,NLW,nlw_nlw_gcf02376_large.jpeg
Dolwyddelan Castle,1985,landscape,NLW,nlw_nlw_gcf02370_large.jpeg
"Porth Swtan, Sir Fon",1985,landscape,NLW,nlw_nlw_gcf02284_large.jpeg
Mountain Landscape,1987,landscape,NLW,nlw_nlw_gcf02331_large.jpeg
"Llyn-y-Cau, Cader Idris",1990,landscape,NLW,nlw_nlw_gcf05061_large.jpeg
Llyn Conwy,1996,landscape,NLW,nlw_nlw_gcf00135_large.jpeg
Pengwyryd,1999,landscape,NLW,nlw_nlw_gcf06690_large.jpeg
Bryn Cader Faner,2000,landscape,NLW,nlw_nlw_gcf00244_large.jpeg
Chapel at Dinorwic,2000,landscape,NLW,nlw_nlw_gcf10056_large.jpeg
Cattle in the Field,1940-1950,landscape,NLW,nlw_nlw_kwf00333_large.jpeg
Cloudy Day in Snowdonia,1940-1950,landscape,NLW,nlw_nlw_kwf00389_large.jpeg
Farmer and Cottages,1940-1950,landscape,NLW,nlw_nlw_kwf00042_large.jpeg
Fresians in the Field with the Coast Beyond,1940-1950,landscape,NLW,nlw_nlw_kwf00100_large.jpeg
Hampstead Heath,1940-1950,landscape,NLW,nlw_nlw_kwf00332_large.jpeg
Mountain Torrent,1940-1950,landscape,NLW,nlw_nlw_kwf00121_large.jpeg
Mountain Valley,1940-1950,landscape,NLW,nlw_nlw_kwf00335_large.jpeg
Mountain Valley,1940-1950,landscape,NLW,nlw_nlw_kwf00126_large.jpeg
"Roadside Cottage, Eryri",1940-1950,landscape,NLW,nlw_nlw_kwf00123_large.jpeg
Sunflowers with Mountain Beyond,1940-1950,landscape,NLW,nlw_nlw_kwf00334_large.jpeg
Welsh Black on Rocky Outcrop above the Coast,1940-1950,landscape,NLW,nlw_nlw_kwf00099_large.jpeg
A ruined classical building,1940-1960,landscape,NLW,nlw_nlw_kwf00393_large.jpeg
Dusk in the Mountains,1940-1960,landscape,NLW,nlw_nlw_kwf00388_large.jpeg
A Chapel in the Tyrol,1950-1960,landscape,NLW,nlw_nlw_kwf00394_large.jpeg
Alpine Mountain Landscape,1950-1960,landscape,NLW,nlw_nlw_kwf00125_large.jpeg
Autumn Road,1950-1960,landscape,NLW,nlw_nlw_kwf00073_large.jpeg
"Church and Cottage, North Wales",1950-1960,landscape,NLW,nlw_nlw_kwf00094_large.jpeg
"Cloud and Mist, Eryri",1950-1960,landscape,NLW,nlw_nlw_kwf00002_large.jpeg
Mont Blanc,1950-1960,landscape,NLW,nlw_nlw_kwf00390_large.jpeg
Mountains and Rocks,1950-1960,landscape,NLW,nlw_nlw_kwf00008_large.jpeg
Mountains Snowdonia,1950-1960,landscape,NLW,nlw_nlw_kwf00323_large.jpeg
"Range of Mountains, Snowdonia",1950-1960,landscape,NLW,nlw_nlw_kwf00034_large.jpeg
Storm,1950-1960,landscape,NLW,nlw_nlw_kwf00122_large.jpeg
Yellow fields under a grey sky,1950-1960,landscape,NLW,nlw_nlw_kwf00128_large.jpeg
Yr Wyddfa a Grib Goch,1950-1960,landscape,NLW,nlw_nlw_kwf00129_large.jpeg
"Cottages, North Wales",1950-1970,landscape,NLW,nlw_nlw_kwf00007_large.jpeg
"Dark Mountains, Blue Sky",1950-1970,landscape,NLW,nlw_nlw_kwf00152_large.jpeg
"Giudecca, Venice",1950-1970,landscape,NLW,nlw_nlw_kwf00448_large.jpeg
Green Mountain Landscape,1950-1970,landscape,NLW,nlw_nlw_kwf00111_large.jpeg
Green Trees and Fields Beneath a Dark Mountain,1950-1970,landscape,NLW,nlw_nlw_kwf00137_large.jpeg
"Mountains, North Wales",1950-1970,landscape,NLW,nlw_nlw_kwf00447_large.jpeg
"Snow and Cloud, Snowdonia",1950-1970,landscape,NLW,nlw_nlw_kwf00138_large.jpeg
Snowdon Range,1950-1970,landscape,NLW,nlw_nlw_kwf00004_large.jpeg
Tryfan,1950-1970,landscape,NLW,nlw_nlw_kwf00109_large.jpeg
Cloud on Foel Goch,1960-1961,landscape,NLW,nlw_nlw_kwf00145_large.jpeg
Chapel with a Mountain Behind,1960-1970,landscape,NLW,nlw_nlw_kwf00398_large.jpeg
Cnicht,1960-1970,landscape,NLW,nlw_nlw_kwf00317_large.jpeg
"Cottages, Snowdonia",1960-1970,landscape,NLW,nlw_nlw_kwf00084_large.jpeg
Eryri,1960-1970,landscape,NLW,nlw_nlw_kwf00120_large.jpeg
Farm Buildings,1960-1970,landscape,NLW,nlw_nlw_kwf00110_large.jpeg
Farmhouse on the horizon in rugged ground,1960-1970,landscape,NLW,nlw_nlw_kwf00146_large.jpeg
Hillside Cottages,1960-1970,landscape,NLW,nlw_nlw_kwf00315_large.jpeg
Hillside with Trees on the Horizon,1960-1970,landscape,NLW,nlw_nlw_kwf00329_large.jpeg
Mist on the Mountains,1960-1970,landscape,NLW,nlw_nlw_kwf00059_large.jpeg
Moelwyn Bach from Tanygrisiau,1960-1970,landscape,NLW,nlw_nlw_kwf00124_large.jpeg
Mountain Summit with low cloud,1960-1970,landscape,NLW,nlw_nlw_kwf00063_large.jpeg
"Mountain Summits, Snowdonia",1960-1970,landscape,NLW,nlw_nlw_kwf00052_large.jpeg
Nant Ffrancon,1960-1970,landscape,NLW,nlw_nlw_kwf00098_large.jpeg
Ponies at Dusk,1960-1970,landscape,NLW,nlw_nlw_kwf00032_large.jpeg
Rhosybol,1960-1970,landscape,NLW,nlw_nlw_kwf00095_large.jpeg
Rocamdour,1960-1970,landscape,NLW,nlw_nlw_kwf00082_large.jpeg
"Snow on the Mountains, Eryri",1960-1970,landscape,NLW,nlw_nlw_kwf00070_large.jpeg
Snowdon from Gelli Iago,1960-1970,landscape,NLW,nlw_nlw_kwf00097_large.jpeg
Snowdon from Ty Obry,1960-1970,landscape,NLW,nlw_nlw_gcf04927_large.jpeg
